#GO	IC
0001903	2.044087
0001904	2.044087
0001905	6.476124
0001906	0.000000
0001907	7.999619
0001908	0.000000
0001909	0.000000
0001910	8.434937
0001911	8.434937
0001912	8.434937
0001913	0.000000
0001914	8.434937
0001915	8.434937
0001916	8.434937
0001917	10.832833
0001918	1.050271
0001919	4.806967
0001920	4.806967
0001921	4.806967
0001922	4.686503
0001923	6.515345
0001924	8.434937
0001925	8.434937
0001926	8.434937
0001927	4.686503
0001928	8.434937
0001929	8.434937
0001930	8.434937
0001931	6.300233
0001932	5.369001
0001933	7.465537
0001934	6.247865
0001935	10.832833
0001936	6.584337
0001937	6.584337
0001938	6.584337
0001939	2.029408
0001940	2.029408
0001941	5.115805
0001942	2.412371
0001943	2.412371
0001944	3.005592
0001945	2.412371
0001946	3.863982
0001947	7.143953
0001948	1.050271
0001949	8.434937
0001951	5.564975
0001952	10.832833
0001953	10.832833
0001954	10.832833
0001955	5.570143
0001956	10.832833
0001957	2.474870
0001958	2.474870
0001959	4.828946
0001960	4.828946
0001961	4.828946
0001962	7.143953
0001963	10.832833
0001964	3.162871
0001965	1.050271
0001966	7.119261
0001967	0.000000
0001968	1.050271
0001969	8.434937
0001970	8.434937
0001971	8.434937
0001972	6.941012
0001973	9.734220
0001974	2.474870
0001975	8.530248
0001976	2.474870
0001977	9.734220
0001978	2.474870
0001979	2.474870
0001980	2.474870
0001981	9.223395
0001982	2.474870
0001983	2.474870
0001984	2.474870
0001985	2.474870
0001986	2.474870
0001987	2.474870
0001988	2.474870
0001989	2.474870
0001990	9.734220
0001991	9.734220
0001992	9.734220
0001993	9.734220
0001994	2.474870
0001995	9.734220
0001996	2.474870
0001997	9.734220
0001998	2.474870
0001999	9.734220
0002000	9.223395
0002001	8.060244
0002002	4.567531
0002003	4.567531
0002004	9.734220
0002005	4.567531
0002006	9.734220
0002007	7.837100
0002008	2.474870
0002009	9.734220
0002010	2.474870
0002011	9.734220
0002012	2.474870
0002013	2.474870
0002014	2.474870
0002015	2.474870
0002016	9.734220
0002017	9.734220
0002018	9.734220
0002019	9.734220
0002020	7.837100
0002021	5.169872
0002022	5.169872
0002023	5.169872
0002024	5.169872
0002025	9.734220
0002026	3.554204
0002027	3.554204
0002028	8.124783
0002029	5.898359
0002030	3.275360
0002031	5.898359
0002032	5.898359
0002033	2.474870
0002034	2.474870
0002035	2.474870
0002036	7.536996
0002037	7.536996
0002038	7.536996
0002039	1.050271
0002040	5.394753
0002041	5.394753
0002042	5.394753
0002043	10.832833
0002044	5.394753
0002045	10.832833
0002046	1.050271
0002047	8.060244
0002048	4.992191
0002049	4.992191
0002050	4.992191
0002051	6.515345
0002052	7.367097
0002053	7.367097
0002054	10.832833
0002055	10.832833
0002056	10.832833
0002057	10.832833
0002058	10.832833
0002059	10.832833
0002060	10.832833
0002061	10.832833
0002062	4.189043
0002063	4.995102
0002064	4.995102
0002065	8.434937
0002066	4.995102
0002067	8.434937
0002068	4.995102
0002069	4.995102
0002070	5.973020
0002071	4.995102
0002072	9.734220
0002073	2.412371
0002074	2.412371
0002075	2.412371
0002076	4.995102
0002077	3.160075
0002078	6.413992
0002079	5.835620
0002080	5.757659
0002081	5.835620
0002082	9.734220
0002083	7.741790
0002084	10.139686
0002085	5.732966
0002086	2.474870
0002087	10.139686
0002088	2.412371
0002089	3.863982
0002090	2.603322
0002091	2.603322
0002092	2.603322
0002093	7.143953
0002094	7.741790
0002095	7.999619
0002096	2.550856
0002097	7.697338
0002098	7.942461
0002099	7.697338
0002100	9.223395
0002101	7.697338
0002102	2.550856
0002103	10.832833
0002104	10.832833
0002105	10.832833
0002106	10.832833
0002107	9.734220
0002108	7.277485
0002109	6.843849
0002110	6.658445
0002111	2.550856
0002112	5.732966
0002113	1.050271
0002114	5.570143
0002115	6.344196
0002116	10.832833
0002117	2.601989
0002118	3.155432
0002119	2.601989
0002120	3.155432
0002121	3.155432
0002122	3.155432
0002123	3.155432
0002124	3.155432
0002125	3.155432
0002126	3.155432
0002127	7.697338
0002128	9.734220
0002129	10.139686
0002130	10.139686
0002131	10.832833
0002132	10.832833
0002133	2.550856
0002134	4.487196
0002135	4.487196
0002136	7.697338
0002137	10.832833
0002138	7.306472
0002139	10.832833
0002140	10.832833
0002141	10.832833
0002142	2.550856
0002143	9.734220
0002144	10.139686
0002145	4.419374
0002148	3.607351
0002149	3.607351
0002150	3.607351
0002151	3.714816
0002152	5.957635
0002153	6.584337
0002154	4.673737
0002155	4.828946
0002156	4.828946
0002157	4.828946
0002158	8.886923
0002159	8.267883
0002160	7.888394
0002161	9.223395
0002162	1.050271
0002163	1.050271
0002164	2.601989
0002165	2.601989
0002166	1.050271
0002167	2.550856
0002168	2.601989
0002169	5.159509
0002170	5.570143
0002171	5.570143
0002172	5.570143
0002173	5.570143
0002174	8.886923
0002175	4.219448
0002176	8.886923
0002177	4.632324
0002178	10.139686
0002179	10.139686
0002180	4.488952
0002181	6.476124
0002182	7.143953
0002183	7.574736
